lambda,avg_carbon_kg,AvgPCF@10,NDCG@10,Recall@10,MRR,n_users,pareto_optimal,carbon_reduction_pct,engagement_retention_pct
0.0,222.75452002921764,222.75452002921764,0.0077327844647019734,0.014898236092265944,0.005580747058358999,110550,False,0.0,100.0
0.025,210.8723334050655,210.8723334050655,0.007732196134651583,0.014898236092265944,0.00558006504275161,110550,False,5.334206741391207,99.99239174383979
0.05,199.8722366085934,199.8722366085934,0.0077278820880299325,0.014898236092265944,0.005574372007207828,110550,False,10.27242159558553,99.93660269862146
0.075,189.4126288831298,189.4126288831298,0.007729890962389687,0.014907281772953414,0.005574651992562441,110550,False,14.967997570471095,99.9625813660591
0.1,179.8463390522841,179.8463390522841,0.00773468679073333,0.014925373134328358,0.005576001665553903,110550,False,19.262541101884484,100.02460078953499
0.15,161.97501529787428,161.97501529787428,0.007740286480114135,0.01493441881501583,0.00558067885679826,110550,False,27.28541926932446,100.09701570561556
0.2,146.36227975649027,146.36227975649027,0.007747693660375648,0.01493441881501583,0.005590033239286971,110550,False,34.294361462432896,100.19280500758467
0.25,133.14335489398468,133.14335489398468,0.0077562045876573135,0.014970601537765717,0.005590898322241605,110550,False,40.22866297998312,100.30286791339196
0.3,121.81486457557662,121.81486457557662,0.007767626746417229,0.015015829941203075,0.005592965906398742,110550,False,45.314301788534415,100.45057872586906
0.4,102.06727809886931,102.06727809886931,0.0077559132136266196,0.014997738579828132,0.005582225955360283,110550,False,54.17948058450997,100.29909987831967
0.5,88.56496214771597,88.56496214771597,0.007764570662956877,0.015024875621890548,0.005586648288140825,110550,False,60.241003353781856,100.41105760027321
0.6,75.01721072844869,75.01721072844869,0.007780796183879075,0.015097241067390322,0.005587617468214483,110550,False,66.32292322570648,100.62088526320967
0.7,59.73207425581183,59.73207425581183,0.007785470717195157,0.015160560832202623,0.0055778251599147115,110550,True,73.1847981140957,100.68133610517248
0.8,43.90698158597918,43.90698158597918,0.007677865601463484,0.014970601537765717,0.005495850473462413,110550,True,80.28907266159175,99.28979187911962
0.9,30.435950034644957,30.435950034644957,0.007370890256624775,0.014274084124830394,0.005311300639658848,110550,True,86.33655109191372,95.32000135618487
0.91,29.015602689552257,29.015602689552257,0.007297470865315358,0.01414744459520579,0.005254409769335142,110550,True,86.9741800589517,94.37054528839252
0.92,27.442569246766173,27.442569246766173,0.007211146646384797,0.014002713704206242,0.005186165133926328,110550,True,87.68035358242487,93.254204605103
0.93,25.670474426322944,25.670474426322944,0.007127507605915544,0.01383989145183175,0.005129547069845577,110550,True,88.47589066971307,92.17258852164636
0.94,23.550340996653098,23.550340996653098,0.006988210331328548,0.013568521031207599,0.005030030224060075,110550,True,89.42767087574066,90.37120280835188
0.95,21.046693214292176,21.046693214292176,0.006833288173943936,0.013206693803708728,0.004938970371806193,110550,True,90.55162013703175,88.36775685570974
0.96,18.082521480597023,18.082521480597023,0.006608534747454352,0.012645861601085481,0.004815636823099509,110550,True,91.88230996245318,85.46125626054223
0.97,14.363292717955671,14.363292717955671,0.006278170653907036,0.012075983717774762,0.004563197719914138,110550,True,93.55196351747578,81.18900355447836
0.98,9.465863929443689,9.465863929443689,0.005335697240315944,0.010637720488466756,0.003739807456225367,110550,True,95.75054013350567,69.00098230685117
0.99,5.163108665219356,5.163108665219356,0.004123634545998515,0.008331071913161466,0.002862652825339392,110550,True,97.68215313227218,53.326645334830786
1.0,0.11028507281772953,0.11028507281772953,0.0016529617339850295,0.0034283129805517867,0.001117152333570244,110550,True,99.95049030977991,21.376022331028928
